id;date_debut;date_fin;actif;user_id;boutique_id;profil_id
1;2026-05-04;2026-05-05;true;1;1;1
2;2026-05-05;2026-05-04;true;2;2;2
3;2026-05-04;2026-05-04;true;1;3;3
4;2026-05-05;2026-05-04;true;1;4;4
5;2026-05-05;2026-05-05;true;1;5;5
6;2026-05-05;2026-05-04;true;2;6;6
7;2026-05-04;2026-05-05;false;2;7;7
8;2026-05-05;2026-05-05;false;1;8;8
9;2026-05-04;2026-05-04;false;1;9;9
10;2026-05-04;2026-05-04;false;2;10;10
11;2026-05-04;2026-05-04;false;1;11;11
12;2026-05-05;2026-05-04;true;1;12;12
13;2026-05-04;2026-05-04;true;2;13;13
14;2026-05-05;2026-05-05;true;1;14;14
15;2026-05-05;2026-05-04;false;1;15;15
16;2026-05-05;2026-05-04;true;1;16;16
17;2026-05-05;2026-05-04;false;1;17;17
18;2026-05-05;2026-05-05;true;2;18;18
19;2026-05-04;2026-05-04;true;1;19;19
20;2026-05-05;2026-05-05;false;1;20;20
21;2026-05-04;2026-05-04;false;2;21;21
22;2026-05-04;2026-05-05;true;1;22;22
23;2026-05-04;2026-05-05;true;1;23;23
24;2026-05-05;2026-05-04;false;2;24;24
25;2026-05-04;2026-05-04;true;1;25;25
26;2026-05-04;2026-05-04;true;2;26;26
27;2026-05-04;2026-05-04;true;2;27;27
28;2026-05-05;2026-05-04;true;2;28;28
29;2026-05-04;2026-05-04;false;1;29;29
30;2026-05-05;2026-05-05;true;1;30;30
